,news,date
407,"How we’re enhancing financial sustainability of MSMEs, startups in Nigeria – Momo CEO, Eli Hini","August24,2023"
408,"ICAN challenges CBN, NNPCL $3bn Afrexim Bank loan","August24,2023"
409,"MAN set to host 2023 Manufacturing,  Equipment Expo","August24,2023"
410,"China, USA, Russia, EU, India lead in fuel subsidy — IMF","August24,2023"
411,Stock exchange pushes dollar asset listings for Nigeria’s FX challenges,"August24,2023"
412,‘We are meeting Nigeria’s 40% LPG demand’ — NLNG,"August24,2023"
413,NGX market capitalization rises by N422bn in 3 days,"August24,2023"
414,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
415,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
416,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
417,NSIA commits $500m to infrastructure Devt,"August23,2023"
418,Gas Flaring: Nigeria loses N34.1bn as oil firms flare 12.7 mscf,"August23,2023"
419,"FG should reorganise CBN, NNPCL for improved transparency — LCCI","August23,2023"
420,Bello faults involvement of foreigners in freight forwarding practice ,"August23,2023"
421,UBA holds  business series on financial fitness,"August23,2023"
422,N77trn debt may stall Tinubu’s economic plan — MAN,"August22,2023"
423,Fuel price rise 9.5% above official price in some states — NBS,"August22,2023"
424,Nigeria’s net foreign reserves fell to $3.7bn at end of 2022 – JP Morgan,"August21,2023"
425,Stock market under pressure over macroeconomic outlook,"August21,2023"
426,"Old age poverty to increase as pension coverage stagnates, population rises","August21,2023"
427,Banks lose N9.5bn to e-fraud in 2023,"August19,2023"
428,Transcorp acquires 60% stake in Abuja DisCo,"August18,2023"
429,Credit to govt rises further by 3.5% to N32.3trn,"August18,2023"
430,"Illicit financial flows draining nation’s revenue, foreign reserves – ICPC","August18,2023"
431,CIBN Bankers’ Nite: Stakeholders to discuss implications of forex unification,"August18,2023"
432,Tenure limit: NAICOM director exits on compulsory retirement,"August18,2023"
433,Optimus Bank states mission as Sanwo-Olu unveils in Lagos,"August18,2023"
434,"Directors of 183 failed MfBs, PMBs to be investigated — NDIC","August18,2023"
435,"NDIC mulls investigation of directors for failure of 183 MfBs, PMBs","August17,2023"
436,Naira appreciates as NNPCL boosts forex supply with $3bn loan,"August17,2023"
437,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
438,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
439,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
440,"NIMASA intervenes, investigates collapsed oil rig","August17,2023"
441,Port congestion lingers over capacity utilization of scanners,"August17,2023"
442,Fish farmers lament loss of N100 billion to flood,"August17,2023"
443,Manufacturers groan under rising inflation,"August17,2023"
444,FMDQ woos MOFI with private sector securities to fund govt coys,"August17,2023"
445,CIPSMN calls for full implementation of Public Procurement Act,"August17,2023"
446,"Leadway Assurance, Corporate Farmers collaborate to boost agric","August17,2023"
447,Stakeholders task youths on leadership opportunities,"August17,2023"
448,"FBS Re achieves N16.6bn premium, a 110% growth in 2022","August17,2023"
449,Nigeria’s eurobonds drop as FG freezes petrol price hike,"August16,2023"
450,Reps move to address multiple taxation ,"August16,2023"
451,Harsh economy: Buhari spent 96% of national income on debt — Oshiomhole,"August16,2023"
452,Inflation hits 24.08% as Nigerians struggle with higher food prices,"August16,2023"
453,Pension Funds’ investment in equities grows by 36% to N1.4trn,"August16,2023"
454,"ETK Group projects impact of Niger’s Coup on AfCTA, SMEs","August16,2023"
455,Nigeria resumes oil export at Forcados terminal,"August16,2023"
456,"FBN Holdings assures shareholders of improvements, dividend","August16,2023"
457,"Inflation rate surpasses analysts projections, rises to 24.08 %","August15,2023"
458,FG dissolves advertising body over approval of ‘All Eyes on The Judiciary’ billboards,"August15,2023"
459,No plan to increase petroleum pump prices – NNPCL,"August15,2023"
460,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
461,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
462,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
463,Naira slide: CBN moves to crackdown on speculators ,"August15,2023"
464,"FG to revive, list moribund govt assets on stock exchanges","August15,2023"
465,"NPA, TTP  introduce N50 stamp duty on N1,000 receipt issued","August15,2023"
466,ICAN commends Bayelsa govt for encouraging accountancy education,"August15,2023"
467,APM Terminals Apapa restates commitment to environmental sustainability,"August15,2023"
468,Guinea Insurance to issue shares through private placement,"August15,2023"
469,Further MPR hike can affect economic growth — FXTM warns,"August15,2023"
470,GOXI Microinsurance wins Company of the Year,"August15,2023"
471,UBA commits to global reporting standards,"August15,2023"
472,FGN Bond attracts N312.6bn,"August14,2023"
473,Petrol price: Marketers urge FG to tackle FOREX challenge,"August14,2023"
474,"Register your business or face sanctions, Lagos govt tells trado-medical practitioners","August14,2023"
475,"INFLATION: What FG, CBN should do beyond raising rates –ICSAN  ","August14,2023"
476,Fresh fuel price hike looms as landing cost rises by 37.4%,"August14,2023"
477,Stock market records marginal gain,"August14,2023"
478,"ELECTRICITY: Niger, Togo, Benin owe Nigeria N12.6bn in Q1’23","August14,2023"
479,LBS tech summit to focus on future of technology and entrepreneurship,"August13,2023"
480,WACT hits three million man-hours without lost time injury ,"August13,2023"
481,Fitch maintains Rating Watch Negative for Ecobank Nigeria over Honeywell,"August13,2023"
482,NPA facilitates export of 3.5m metric tonnes of trade in H1’23,"August13,2023"
483,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
484,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
485,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
486,"Nigerians pay more for transport, food in June — NBS","August12,2023"
487,Nigeria’s economy grew by 2.4% in Q1 – OPEC,"August11,2023"
488,5 reasons Naira is depreciating,"August11,2023"
489,Nigeria’s oil production declines 13.6% to 1.08mbpd,"August11,2023"
490,Forex inflow through I&E window rises 23% to $1.41bn,"August11,2023"
491,Truckers task NPA on integrity of call-up system ,"August11,2023"
492,Capital Express grows profit by 61%,"August11,2023"
493,LCCI partners FG to host 2023 international business confab,"August11,2023"
494,"NGX, CSCS, Euroclear collaborate to create dollar settlement platform for Fintechs","August10,2023"
495,"Clarity, transparency in FX market critical to stem volatility — Rewane","August10,2023"
496,Nigeria’s July oil production declines by 13.6% to 1.08mbpd,"August10,2023"
497,"OPS raises alarm over surge in capital flights, business closures","August10,2023"
498,"SEC, PenCom, NGX commit to deepening securities lending facility","August10,2023"
499,Volatile climate stunts pension investment into Infrastructure Fund,"August10,2023"
500,Noor Takaful pledges support for growth of Islamic insurance,"August10,2023"
501,First Bank allays fears of staff over introduction of robotics,"August09,2023"
502,"Electricity: Prepaid meters’ installation rises 3.9% to 171,107","August09,2023"
503,Stakeholders seek support for renewable energy sector ,"August09,2023"
504,400 female students empowered on gender equity,"August09,2023"
505,Zenith Bank signs agreement with AfCFTA to develop SMART AfCFTA portal,"August09,2023"
506,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
507,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
508,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
509,"She Creates 2023 Camp, set to support girls in technology ","August08,2023"
510,Well-mann Group wins Jet Age continental award,"August08,2023"
511,"We’ll ensure appropriate tax payment, use – Presidential Committee","August08,2023"
512,Shareholders support holding of First Bank’s AGM,"August08,2023"
513,Pension investment in FG Securities up 20.6% to N10.9trn,"August08,2023"
514,Insurance is best protection against financial loss— Staco CEO ,"August08,2023"
515,NIN registration declines 16.85% to 22.49m in 2022— NBS,"August08,2023"
516,IOCs engagement of stevedoring firms now at 60% —Maritime Workers,"August08,2023"
517,Fintech expert harps on role of fintechs in deepening digital economy,"August08,2023"
518,FG to cut multiple taxation – Nami,"August07,2023"
519,Businesses to remain under inflationary pressures as forex crises deepens,"August07,2023"
520,Liquidity pressures resurface in banking system,"August07,2023"
521,"FG to establish tech hubs in 7 states to empower 1m youths, 500,000 MSMEs","August07,2023"
522,Consumer goods manufacturers borrow N1.8trn to survive in HI’23,"August07,2023"
523,Stock Market: Mixed sentiments continue as investors await interim dividends  ,"August07,2023"
524,"Access Bank to reward over 8,000 customers with N135m in DiamondXrra season 15","August07,2023"
525,"CERTIFICATE OF ORIGIN: Deviation from standard,  threat to Nigerian economy — NACCIMA","August07,2023"
526,Parthian Partners’ CEO appraises impact of BVN on Nigerian fintech sector,"August07,2023"
527,Collaboration key to improving financial inclusion in Nigeria — aYo Nigeria Boss,"August06,2023"
528,Oil market: Bonny Light price rises 3% to $87.64 per barrel on low output,"August06,2023"
529,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
530,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
531,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
532,MPR: Banks jerk up interest rates on savings deposits money market,"August04,2023"
533,Consumers pay N247bn for electricity in Q1’23,"August04,2023"
534,NGX partners UK government on mobilizing capital for listed coys,"August04,2023"
535,Cadbury grows revenue by 28% to N35bn,"August04,2023"
536,Consumers pay N247bn for electricity in Q1’23,"August04,2023"
537,Maritime stakeholders back unbundling of transport ministry,"August03,2023"
538,FirstBank graduates participants in senior management programme,"August03,2023"
539,GSK Group to shut down operations in Nigeria,"August03,2023"
540,Why Buhari didn’t assent three maritime Bills,"August03,2023"
541,Less than 50% MSMEs have active bank accounts — STUDY,"August03,2023"
542,"Apapa Customs rejigs operations, improves performance","August03,2023"
543,Economic hardship: Workers withdraw N3bn from pension savings,"August03,2023"
544,LOAN SHARKS: FCCPC orders removal of 18 apps from Google Playstore,"August03,2023"
545,"Price pressures dampens business confidence, growth in private sector","August03,2023"
546,Truckers celebrate dissolution of Customs strike force,"August03,2023"
547,"OPS calls on FG, Labour to avert socioeconomic disruptions","August03,2023"
548,NIMASA relocates modular floating dock to NPA’s Continental Shipyard,"August03,2023"
549,"Why SMEs need to connect, collaborate on digital business ","August03,2023"
550,UBA GMD marks first year of impactful service,"August03,2023"
551,FCMB records 148% profit growth,"August02,2023"
552,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
553,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
554,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
555,7m electricity consumers without prepaid meters — Report,"August02,2023"
556,Forex scarcity triggers  21% fall  in I&E turnover  to $1.68bn,"August02,2023"
557,"Procure 3,000 CNG buses from local firms — MAN to FG","August02,2023"
558,Energy transition: 600m Africans lack efficient power supply — Experts,"August02,2023"
559,Prestige Assurance grows premium  by 34%,"August02,2023"
560,Energy access biggest driver of socio-economic dev’t – Seplat CEO,"August02,2023"
561,FCMB Group grows profit by 148% to N38.2bn in H1’23,"August02,2023"
562,NGX loses N79bn in bearish trading,"August01,2023"
563,"Roscongress foundation signs co-operation agreements with African industry, businesses ","August01,2023"
564,Lack of ship transport putting pressure on road infrastructure – Customs,"August01,2023"
565,"NPA intervention saves terminals, Tin-can port operations from flooding","August01,2023"
566,Maritime stakeholders must come to aid of seafarers – Sarumi,"August01,2023"
567,We facilitated holding bay initiative to ease container deposit issues – COMTUA,"August01,2023"
568,"Cash squeeze, low returns drag down investments in FG Savings Bond","August01,2023"
569,Nigeria loses N373bn as gas flaring rises 10 % in H1’23,"August01,2023"
570,"Electricity: Nigeria’s average generation rises 8.6% to 3,970MW","August01,2023"
571,SNEPCo MD Elohor Aiboni drives Shell’s deep-water dream,"August01,2023"
572,Capital gain declines as market capitalisation hits N35trn,"August01,2023"
573,"IPMAN, others, laud Polaris Bank, Emadeb Energy on fuel importation","August01,2023"
574,"Manufacturers kick at fiscal, monetary policies","August01,2023"
575,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
576,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
577,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
578,"She Creates 2023 Camp: UBA, others  join forces to empower girls","August01,2023"
579,Notore posts N7.92bn revenue for Q2’23,"August01,2023"
580,Firm launches multiple digital channels,"August01,2023"
581,"NACCIMA seeks expansion in Nigeria, Spain trade","August01,2023"
582,Wema Bank’s profit rises 97% to N12bn,"August01,2023"
583,"Customs boss charges newly-promoted DCGs on revenue, professionalism","August01,2023"
584,NBCC to open Nigeria’s investment opportunities to British counterpart,"August01,2023"
585,"BIRS decries smear campaign against its chairman, others","August01,2023"
586,Hostile business environment: Foreign investments in manufacturing fall 51% to $978.3m,"July31,2023"
587,"Stock Market: Corporate earnings, new policies’ll sustain upward trend — Analysts","July31,2023"
588,"Tinubu running and stumbling badly, By Dele Sobowale","July31,2023"
589,World Finance Banking Awards: Zenith Bank wins Best Commercial Bank in Nigeria,"July31,2023"
590,ECONOMISTS TO FG: How to use palliatives to mitigate effects of subsidy removal,"July30,2023"
591,Economists to FG: How to use palliatives to mitigate effects of subsidy removal,"July30,2023"
592,‘Innovation key to market success’,"July29,2023"
593,Global economic growth to drop to 3.0% in 2023-24 – IMF,"July29,2023"
594,"15 companies from Nigeria, others accede to AI ethics code","July28,2023"
595,"Russia to renew direct investment in Nigeria, others","July28,2023"
596,Naira depreciates to N768.6/$ in I&E window,"July28,2023"
597,"AfCFTA: Why Nigeria’s missing, as 8 countries commence guided trade","July28,2023"
598,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
599,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
600,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
601,"Solve local problems with innovative technologies, NITDA charges startups","July28,2023"
602,"Economy: Stakeholders task govt on insecurity, youth inclusiveness","July28,2023"
603,Net forex inflow into economy falls 2% to $7.28bn,"July27,2023"
604,"FG tackles trade associations over price fixing, cartel practices","July27,2023"
605,Insurance industry practitioners to get recognition,"July27,2023"
606,Mutual Funds investment rises 33.1% to N1.87 trn in H1’23,"July27,2023"
607,Kayode Pitan urges collaboration among DFIs to overcome financing gaps,"July27,2023"
608,Bank pledges support to SMEs beyond financial advisory,"July27,2023"
609,CIBN commissions Bankers Hall at Olabisi Onabanjo University,"July27,2023"
610,Fuel subsidy: FG should encourage utilisation of gas as substitute – NAEE,"July26,2023"
611,Foreign Exchange Rate: Reps urge support for Tinubu’s govt,"July26,2023"
612,"Cooking gas price drops 6.71% to N4, 068.26 — NBS","July26,2023"
613,"CBN intensifies anti- inflation effort, raises MPR to 18.75%","July26,2023"
614,SEC plots access to market funding for mining companies,"July25,2023"
615,IMF retains Nigeria’s economic growth forecast at 3.2%,"July25,2023"
616,IMF retains Nigeria’s economic growth forecast at 3.2%,"July25,2023"
617,Nigeria’s pension assets to hit N19trn by end of 2024 – Report,"July25,2023"
618,How Nigeria’s fuel subsidy rose to N3.14trn in 2023  — KPMG,"July25,2023"
619,Firm recovers Foreshore Towers Ikoyi following court order,"July25,2023"
620,Developer harps on need to review Land Use Act,"July25,2023"
621,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
622,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
623,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
624,CBN: Forex reforms reignites investors’ confidence,"July25,2023"
625,H1’23: Foreign investment in stock market falls 40.4% to N145.1bn,"July25,2023"
626,Tin-can Customs records 110.8% growth in  non oil export,"July25,2023"
627,CBN should reduce banks’ CRR to 10%— Pharmaceutical experts ,"July25,2023"
628,"PORTS ACCESS ROADS: Task force, FRSC to introduce mobile courts for traffic offenders","July25,2023"
629,Gas flaring: Reps to recover over $9bn fines from oil companies,"July24,2023"
630,Forex crises: Insurers struggle to grow income from imports ,"July24,2023"
631,First post-Emefiele MPC holds investment community in speculations,"July24,2023"
632,NNPCL positions for global play with 183% rise in profit,"July24,2023"
633,"eTranzact processes over N50trn transactions, assures shareholders on regional dominance","July24,2023"
634,BII makes first investment in development impact bonds,"July24,2023"
635,"NMDPRA unveils 4 new regulations on environmental remediation fund, others","July23,2023"
636,Development analyst to TINUBU: Sustain Buhari’s economic agenda -Awokoya,"July23,2023"
637,Removal of multiple taxation not well-implemented — NACCIMA,"July23,2023"
638,Food consumption cost Nigerians over N22trn in 2019 – NBS,"July22,2023"
639,UK commits $10m to SDG outcomes fund in Africa ,"July22,2023"
640,"Naira loses by 1.26% at investors, exporters window","July22,2023"
641,"Naira loses by 1.26% at investors, exporters window","July21,2023"
642,Deregulation: Emadeb Energy takes delivery of 27m litres of imported petrol,"July21,2023"
643,Nigeria needs big energy projects to drive GDP – Coleman,"July21,2023"
644,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
645,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
646,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
647,"Electricity generation drops 16% to 3,501MW","July21,2023"
648,Banks’ credit to economy rises 11% to N84trn,"July21,2023"
649,Bank gets shareholders’ nod for commercial banking,"July21,2023"
650,"NAMTOP, COMTUA loggerhead escalates","July21,2023"
651,"FAAC shares N907b to FG, States, LGs","July20,2023"
652,FIRS rakes-in N5.5trillion in six months,"July20,2023"
653,How to rescue Nigeria from economic doldrums — NECA,"July20,2023"
654,"NACCIMA pushes for increased PPP in NEZA, NEPZA, OGFZA operations","July20,2023"
655,Oil marketers task govt. on regulatory framework for renewable energy,"July20,2023"
656,"Revenue mobilisation: LCCI cautions FG on FIRS, NIMASA, Customs’ merger","July19,2023"
657,Russia–Africa Economic Forum: Speakers to discuss devt relations under global change,"July19,2023"
658,Ukraine sets to build grain terminal at Lekki Port,"July19,2023"
659,Oil exploration: Nigeria’s rig count rises 27.7% to 14 — Report,"July19,2023"
660,How insurgency destroyed fishing activities in Lake Chad – Cooperative Federation,"July19,2023"
661,Bashir Jamoh: The man who broke the CVFF jinx,"July19,2023"
662,"PCC, Apapa Local Govt Council in talks over Apapa traffic","July19,2023"
663,‘Nigerian factor responsible for illegal check points’ – Seme Customs boss,"July19,2023"
664,Maritime Security:Extolling Nigeria’s Role in Promoting Safer Gulf of Guinea,"July19,2023"
665,"Pioneer PFSO Chair, Subaru Anataku is dead","July19,2023"
666,"6 vessels ran aground at Escravos Channel, impairs port operations","July19,2023"
667,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
668,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
669,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
670,"CBN, CBE set up ‘Nigeria-Egypt FinTech Bridge’","July19,2023"
671,"Ogun Customs intercepts 194 cartons of narcotics, bags CRAN’s anti-smuggling award","July19,2023"
672,"APM Terminals, NDLEA raise awareness on drug addiction, stigma","July19,2023"
673,"Iheanacho urges indigenous shipowners to maximize opportunities in oil, gas industry","July18,2023"
674,"CBN, Egyptian Central Bank seal FinTech deal","July18,2023"
675,"NECA lists local crude refining, 7 others as solution to economic doldrums","July18,2023"
676,"ANLCA 2023: Stakeholders list conditions for resolution of crisis, peaceful election","July18,2023"
677,"MOWCA, AFREXIMBANK mulls ship financing partnership","July18,2023"
678,"Naira depreciation, subsidy removal push inflation to 22.79%","July18,2023"
679,OPEC: NIGERIA’s oil output drops 5.5% to 1.249 mb/d oil theft persist,"July18,2023"
680,Final Investment Decision coming on Nigeria’s $5bn first floating LNG project,"July18,2023"
681,FBNQuest advises investors on risk tolerance,"July18,2023"
682,"NPA berth vessels at Warri Port, commence work at submerged breakwaters","July18,2023"
683,Cooking Gas: Sahara Group places order for LPG carriers worth $142m,"July18,2023"
684,Deregulation: Oil marketers begin fuel importation — NMDPRA,"July17,2023"
685,Inflation rate rises 22.79% in June — NBS,"July17,2023"
686,"NGX expects stable economic environment amid forex reform, subsidy removal","July17,2023"
687,MASS METERING: MAN decries move to sideline local manufacturers,"July17,2023"
688,"Naira hits new low at N820/$, as forex supply gap persists","July17,2023"
689,"MTN, FBNH, Access, others drag down stock market by 0.8%","July17,2023"
690,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
691,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
692,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
693,Olubadan suspends Egungun festival over violence,"July17,2023"
694,"N8,000 too small to assuage pains of fuel subsidy removal — Informal sector workers","July17,2023"
695,MASS METERING: MAN decries move to sideline local manufacturers,"July17,2023"
696,"MTN, FBNH, Access, others drag down stock market by 0.8%","July17,2023"
697,Subsidy removal: FG targets 2-pronged relief for workers,"July17,2023"
698,"Naira hits new low at N820/$, as forex supply gap persists","July17,2023"
699,Over 200 Chinese manufacturers storm Nigeria for Lagos Expo,"July16,2023"
700,"Scarcity of liquidity, inflation stifling economic activities, says insurance firm","July15,2023"
701,"Naira dips, exchanges at N803.90 at investors, exporters window","July14,2023"
702,NPA denies charging licensing fee for barge operations,"July14,2023"
703,Ukraine sets to build grain terminal at Lekki Port,"July14,2023"
704,Access Bank to acquire subsidiaries of Standard Chartered in 5 African countries,"July14,2023"
705,"6 vessels ran aground at Escravos Channel, impairs port operations","July14,2023"
706,"APM Terminals, NDLEA raise awareness on drug addiction, stigma","July14,2023"
707,E-Naira: CBN denies competing with banks,"July14,2023"
708,Naira appreciates to N746.28/$ in I&E window,"July14,2023"
709,E-Naira: we‘re not in competition with banks – CBN,"July13,2023"
710,CBN directs banks to pay diaspora remittances to beneficiaries in naira,"July13,2023"
711,Experts kick against uniform global energy transition plan,"July13,2023"
712,H2’23: Nigeria’s debt stock projected to hit N70trn,"July13,2023"
713,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
714,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
715,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
716,CBN announces Naira remittances payout option,"July12,2023"
717,"Ladoja drags Makinde, Olubadan to court over chieftaincy review","July12,2023"
718,"‘Why we invested in First bank’, Honeywell Group speaks about 15% stake in FBNH","July12,2023"
719,"NGX, NBA seek further collaboration on corporate governance","July12,2023"
720,Forbes 2023 Index: Dangote maintains position as Africa’s richest man,"July12,2023"
721,10% of Nigerians have access to pensions’,"July12,2023"
722,Barge operators lament dollar charges by NPA,"July12,2023"
723,Investors gain N1.93trn in 2 days as stock market hits 15 yr high,"July12,2023"
724,"NNPC no longer write rules for petroleum industry, says Kyari","July11,2023"
725,Customs gears up for implementation of new Customs Act,"July11,2023"
726,Air fare up 34% in May — NBS,"July11,2023"
727,"Capital importation rises 6% to $1.13bn, banking sector leads","July11,2023"
728,"IFC, NGX recognise Access Bank for women empowerment, gender equality","July11,2023"
729,FMDQ Holdings acquires 21.6% equity in CSCS shares,"July11,2023"
730,"FGN Securities up 19.9% to N10.2trn, as states decline 5%","July11,2023"
731,LOW PURCHASING POWER: How startups can grow sales under customer resistance – Esene  ,"July11,2023"
732,Banks in earnings windfall under high interest rate regime,"July10,2023"
733,‘IFRS 17 implementation’ll boost perception of insurance’,"July10,2023"
734,Public Debt: ICAN advocates anti-borrowing approach to development ,"July10,2023"
735,Banks in earnings windfall under high interest rate regime,"July10,2023"
736,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
737,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
738,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
739,Stock market resumes bullish trend,"July10,2023"
740,"Otudeko becomes largest shareholder in FBN Holdings, after purchase of additional stake","July10,2023"
741,"Laurels for Transcorp boss, Owen Omogiafo","July08,2023"
742,Aliko Dangote: On dangers of luxurious living,"July08,2023"
743,"Court declares deduction of taxes, levies from Centenary Freezones Coy unlawful","July07,2023"
744,Suspension of tax increments dampens manufacturers’ anxieties — MAN,"July07,2023"
745,Tinubu’s intervention on taxes will relieve Nigerian businesses of undue burden —NACCIMA,"July07,2023"
746,"Tinubu suspends Finance Act, halts 5% excise tax on telecoms","July07,2023"
747,"CBN warns banks over Russia, Iran, Cameroon transactions","July07,2023"
748,Why AI can’t take over PR functions — Ali-Balogun,"July07,2023"
749,Naira depreciates to N762.63/$ in I&E window,"July06,2023"
750,Fitch projects upgrade of Ecobank’s National Ratings ,"July06,2023"
751,Insurers transfer over 70% of oil & gas business abroad in Q1’23,"July06,2023"
752,MPC members urge CBN to curb money supply growth,"July06,2023"
753,Inflationary pressure on cost  reason for new  PoS charges — AMMBAN ,"July06,2023"
754,Benefits and limitations of investment ratios,"July05,2023"
755,Big task for Tinubu on entrepreneurship and startups,"July05,2023"
756,Fuel subsidy: Small businesses suffer losses – ASBON,"July05,2023"
757,Investors lose N672bn as stock market records first decline in H2’23,"July05,2023"
758,"Inflation: Prices of Beef, Yam  up 24.9%,  22.8% — NBS ","July05,2023"
759,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
760,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
761,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
762,Shell appoints Gbobo as MD of Gas subsidiary,"July05,2023"
763,"Inflation: Prices of Beef, Yam  up 24.9%,  22.8% — NBS ","July05,2023"
764,"UBA partners AfCFTA, invests $6bn to finance SMEs in Africa","July05,2023"
765,"NGX, CIS, market leaders unite to honour late Otunba Balogun","July04,2023"
766,Bread producers serve notice of imminent hike in prices,"July04,2023"
767,Stock market opens H2’23 positively as investors gain N534bn,"July04,2023"
768,"NGX, CIS, stakeholders honour Subomi Balogun","July04,2023"
769,Inflationary pressures undermine business confidence – Stanbic IBTC’s PMI,"July04,2023"
770,"Banks’ borrowing from CBN intensifies, rises 140%  to N10.35trn","July04,2023"
771,"Tinubu to investors: We’re serious, open for business","July03,2023"
772,"NEXIM partners Fidelity Bank, Sapphital to grow Nigeria’s export","July03,2023"
773,Forex turnover in I&E falls 35% to $13.11bn in H1’23,"July03,2023"
774,"Fuel subsidy removal, forex reforms: Investors rake in N5.3trn in H1’23","July03,2023"
775,Sterling Bank introduces savings accounts for market women,"July03,2023"
776,"PIA: FG gazettes 5, signs 7 laws, others on oil, gas operations — Investigation","July03,2023"
777,Private sector in divergent tunes over impact of Tinubu’s policy steps,"July03,2023"
778,Manufacturers roll out must-do- list in 100 days for Tinubu,"July02,2023"
779,"Axa Mansard moves to bridge motor insurance gap, penetration in Nigeria","July01,2023"
780,"Lekki Port berths 6,900 TEUs capacity transshipment vessel","June30,2023"
781,Electricity tariff: More multinational companies may exit Nigeria — MAN,"June30,2023"
782,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
783,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
784,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
785,Nigeria’s intra-African trade dips 12% to N842.6bn in Q1’23,"June30,2023"
786,Port decongestion: NPA commence over time cargo evacuation,"June29,2023"
787,Stanbic IBTC Nominees named 2023 best sub-custodian bank,"June29,2023"
788,"Sterling Bank, SMEDAN to create Nigeria’s largest SME Database","June29,2023"
789,"Financial journalist laments Nigeria’s indebtedness, challenges reporters","June29,2023"
790,Marketing industry pledges support for good governance,"June29,2023"
791,Firm drives financial inclusion with retail solution,"June29,2023"
792,Pension registration drops 10% as PenCom go after defaulters,"June29,2023"
793,"CBN limits transactions via  contactless payments to N50,000 per day","June28,2023"
794,Ikeja DisCo leads others with N737bn revenue in 8 years,"June28,2023"
795,"Use subsidy savings to lessen suffering, World Bank tells FG","June28,2023"
796,Investors gain N421bn as stock market hits  5yrs high,"June28,2023"
797,Financial Inclusion: UBA pioneers Braille account opening form for visually impaired,"June28,2023"
798,"Subsidy removal, FX unification: World Bank tasks Tinubu to rebuild fiscal space","June27,2023"
799,"12 stock-broking firms blacklisted, sent out of stock market","June27,2023"
800,"NSIA awards $225,000 to MoneyAfrica, others for innovation ","June27,2023"
801,Nigerian Seafarers push for ban on vessels importation,"June27,2023"
802,NECA challenges FG on approach to boost forex inflows ,"June27,2023"
803,Forex challenge driving petrol price towards N581 per litre,"June27,2023"
804,Customs to dismantle obstacles to trade boss,"June27,2023"
